NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,PACKAGE Type,Package Price,Nett Price After Discount,DC Cable,DC cable Distance (m),mc4 qty(PAIR),Mounting structure,AC Cable,AC cable  Distance (m),Breaker,PV METER,PVC DB BOX
37,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 37PCS ASTRONERGY 625W,"37X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"62,500","46,950",Master Tec 6mm DC Cable,40,15,37,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
38,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 38PCS ASTRONERGY 625W,"38X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"63,680","47,810",Master Tec 6mm DC Cable,40,15,38,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
39,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 39PCS ASTRONERGY 625W,"39X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"64,860","48,680",Master Tec 6mm DC Cable,40,15,39,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
40,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 40PCS ASTRONERGY 625W,"40X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"66,280","49,760",Master Tec 6mm DC Cable,40,15,40,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
41,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 41PCS ASTRONERGY 625W,"41X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"67,460","50,620",Master Tec 6mm DC Cable,40,15,41,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
42,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 42PCS ASTRONERGY 625W,"42X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"68,650","51,470",Master Tec 6mm DC Cable,40,15,42,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
43,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 43PCS ASTRONERGY 625W,"43X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"69,830","52,330",Master Tec 6mm DC Cable,40,15,43,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
44,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 44PCS ASTRONERGY 625W,"44X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"71,010","53,190",Master Tec 6mm DC Cable,40,15,44,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
45,20,1X [3P] SAJ R6 20KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 45PCS ASTRONERGY 625W,"45X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 20KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"72,200","54,040",Master Tec 6mm DC Cable,40,15,45,"MEGA Cable AC Cable: 10mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
46,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 46PCS ASTRONERGY 625W,"46X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"74,350","55,610",Master Tec 6mm DC Cable,40,15,46,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
47,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 47PCS ASTRONERGY 625W,"47X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"75,540","56,470",Master Tec 6mm DC Cable,40,15,47,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
48,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 48PCS ASTRONERGY 625W,"48X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"76,710","57,320",Master Tec 6mm DC Cable,40,15,48,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
49,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 49PCS ASTRONERGY 625W,"49X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"77,930","58,190",Master Tec 6mm DC Cable,40,15,49,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
50,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 50PCS ASTRONERGY 625W,"50X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"79,150","59,070",Master Tec 6mm DC Cable,40,15,50,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
51,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 51PCS ASTRONERGY 625W,"51X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"80,370","59,950",Master Tec 6mm DC Cable,40,15,51,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
52,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 52PCS ASTRONERGY 625W,"52X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"81,590","60,820",Master Tec 6mm DC Cable,40,15,52,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
53,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 53PCS ASTRONERGY 625W,"53X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"82,800","61,700",Master Tec 6mm DC Cable,40,15,53,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
54,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 54PCS ASTRONERGY 625W,"54X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"84,020","62,570",Master Tec 6mm DC Cable,40,15,54,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
55,25,1X [3P] SAJ R6 25KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 55PCS ASTRONERGY 625W,"55X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 25KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"85,240","63,450",Master Tec 6mm DC Cable,40,15,55,"MEGA Cable AC Cable: 16mm, Earth Cable: 10mm",5,EPS 3P 40A,Three Phase PV meter,14way
56,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 56PCS ASTRONERGY 625W,"56X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"88,860","66,800",Master Tec 6mm DC Cable,40,20,56,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
57,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 57PCS ASTRONERGY 625W,"57X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"90,070","67,670",Master Tec 6mm DC Cable,40,20,57,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
58,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 58PCS ASTRONERGY 625W,"58X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"91,290","68,540",Master Tec 6mm DC Cable,40,20,58,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
59,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 59PCS ASTRONERGY 625W,"59X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"92,500","69,410",Master Tec 6mm DC Cable,40,20,59,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
60,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 60PCS ASTRONERGY 625W,"60X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"93,710","70,290",Master Tec 6mm DC Cable,40,20,60,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
61,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 61PCS ASTRONERGY 625W,"61X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"94,930","71,170",Master Tec 6mm DC Cable,40,20,61,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
62,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 62PCS ASTRONERGY 625W,"62X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"96,140","72,030",Master Tec 6mm DC Cable,40,20,62,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
63,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 63PCS ASTRONERGY 625W,"63X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"97,350","72,910",Master Tec 6mm DC Cable,40,20,63,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
64,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 64PCS ASTRONERGY 625W,"64X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"98,560","73,780",Master Tec 6mm DC Cable,40,20,64,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
65,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 65PCS ASTRONERGY 625W,"65X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"99,770","74,650",Master Tec 6mm DC Cable,40,20,65,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
66,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 66PCS ASTRONERGY 625W,"66X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"100,990","75,520",Master Tec 6mm DC Cable,40,20,66,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
67,30,1X [3P] SAJ R6 30KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 67PCS ASTRONERGY 625W,"67X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 30KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"102,200","76,390",Master Tec 6mm DC Cable,40,20,67,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,EPS 3P 63A,Three Phase PV meter,30way
68,40,1X [3P] SAJ R6 40KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 68PCS ASTRONERGY 625W,"68X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 40KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"104,870","78,770",Master Tec 6mm DC Cable,40,30,68,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,CHINT 3P 80A,Three Phase PV meter,30way
69,40,1X [3P] SAJ R6 40KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 69PCS ASTRONERGY 625W,"69X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 40KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"106,070","79,640",Master Tec 6mm DC Cable,40,30,69,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,CHINT 3P 80A,Three Phase PV meter,30way
70,40,1X [3P] SAJ R6 40KW String Inverter,625W Astronergy ASTRO N7 Panel N-Type TOPCon,COMMERCIAL 70PCS ASTRONERGY 625W,"70X 625W Astronergy ASTRO N7 Panel N-Type TOPCon
 1X [3P] SAJ R6 40KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",commercial,"107,280","80,510",Master Tec 6mm DC Cable,40,30,70,"MEGA Cable AC Cable: 25mm, Earth Cable: 10mm",5,CHINT 3P 80A,Three Phase PV meter,30way
